gas_metana,suhu,kelembaban,tekanan,hst_hari,dosis_urea,dosis_npk,status_lahan
312.7,29.7,82.5,1016.08,84,0.0,0.0,0
363.2,29.6,76.7,1013.66,18,37.0,97.3,0
582.8,26.2,64.2,1014.05,81,0.0,0.0,1
737.0,30.0,77.6,1012.38,12,23.1,60.7,1
474.0,33.0,72.5,1008.57,6,22.9,57.1,1
286.7,28.6,83.3,1012.64,95,0.0,0.0,0
391.4,24.4,77.3,1010.88,63,35.4,39.8,0
803.1,26.6,76.8,1010.89,40,39.9,42.9,1
415.7,23.5,67.1,1018.27,28,65.3,72.8,0
343.0,32.1,74.0,1016.58,67,0.0,0.0,0
357.1,30.6,84.2,1007.32,56,35.2,44.4,0
473.0,27.1,69.4,1009.45,104,0.0,0.0,1
262.8,24.5,75.7,1011.98,103,0.0,0.0,0
309.1,26.2,68.0,1011.01,69,0.0,0.0,0
610.0,26.7,65.9,1014.36,49,15.2,16.9,1
466.7,28.8,75.3,1008.9,54,16.5,24.2,1
417.7,28.7,77.5,1016.6,73,0.0,0.0,0
624.4,32.3,92.9,1013.1,15,16.5,42.6,1
278.2,26.6,72.1,1012.06,38,69.4,71.1,0
338.1,24.3,75.6,1013.2,13,36.5,94.3,0
459.6,25.3,65.4,1011.79,12,22.1,59.7,1
452.0,28.4,81.2,1006.14,25,33.3,31.7,1
188.2,26.5,79.4,1013.29,54,32.3,37.3,0
322.3,27.7,88.7,1012.13,83,0.0,0.0,0
367.7,27.2,85.4,1009.91,54,32.2,38.4,0
483.6,31.3,79.0,1017.09,39,30.2,32.6,1
451.2,26.9,72.0,1015.59,13,19.0,50.4,1
384.0,27.4,77.7,1021.79,60,33.2,37.7,0
141.6,30.5,75.1,1016.17,32,71.4,77.3,0
393.2,26.9,84.1,1011.0,66,0.0,0.0,0
410.3,29.7,83.0,1010.08,103,0.0,0.0,0
1137.2,29.4,73.5,1011.52,16,0.0,0.0,2
362.0,28.9,63.6,1010.92,26,73.8,78.7,0
460.8,25.3,87.3,1013.63,52,19.2,21.7,1
673.3,31.9,80.9,1007.86,102,0.0,0.0,1
567.2,34.7,73.3,1015.52,82,0.0,0.0,1
751.4,28.5,80.6,1013.57,95,0.0,0.0,1
189.7,25.6,76.6,1015.11,38,73.0,78.2,0
238.2,28.6,87.2,1009.25,104,0.0,0.0,0
298.8,31.3,59.6,1014.11,15,40.0,96.4,0
174.4,26.8,72.6,1017.8,10,38.3,100.1,0
411.9,28.1,89.6,1010.24,91,0.0,0.0,0
247.6,29.5,80.8,1010.14,98,0.0,0.0,0
798.3,31.9,91.1,1015.74,14,16.5,40.9,1
266.4,30.7,65.6,1009.86,16,36.4,93.1,0
339.0,30.8,85.1,1012.43,8,39.1,92.6,0
583.1,27.3,84.6,1018.42,15,21.8,59.7,1
208.7,29.6,61.7,1010.19,26,68.7,74.1,0
168.9,26.5,73.5,1018.66,102,0.0,0.0,0
435.7,30.9,75.1,1012.07,72,0.0,0.0,0
451.7,31.7,62.2,1009.33,83,0.0,0.0,1
574.9,30.0,73.7,1015.36,83,0.0,0.0,1
510.8,27.5,83.4,1013.63,59,21.6,27.7,1
459.8,27.9,72.7,1013.3,85,0.0,0.0,1
281.5,33.6,78.1,1010.56,65,17.3,20.6,1
445.8,27.5,78.1,1013.6,36,66.2,67.7,0
458.9,31.4,75.9,1006.01,61,21.1,26.6,1
276.4,29.4,70.0,1014.02,58,32.9,36.5,0
906.1,27.6,81.6,1017.79,87,0.0,0.0,2
499.6,24.7,62.5,1007.07,103,0.0,0.0,1
240.3,29.1,76.1,1011.83,46,36.0,39.5,0
576.2,28.8,87.8,1010.19,81,0.0,0.0,1
623.0,33.6,72.2,1007.96,15,18.8,48.0,1
485.5,26.1,69.8,1006.06,83,0.0,0.0,1
352.5,34.9,82.2,1009.12,42,42.9,45.3,1
270.6,29.6,77.4,1012.4,9,38.7,94.5,0
383.5,29.6,82.3,1017.27,41,64.7,71.8,0
469.5,26.8,76.3,1007.92,66,0.0,0.0,1
400.9,29.4,55.7,1014.28,17,42.0,103.3,0
767.4,29.8,86.0,1014.02,97,0.0,0.0,1
535.7,31.1,93.6,1019.1,13,17.3,45.3,1
256.0,25.8,86.9,1015.25,98,0.0,0.0,0
227.9,32.4,50.0,1015.45,76,0.0,0.0,0
501.6,29.5,79.8,1015.7,38,28.1,33.4,1
356.4,30.2,72.0,1010.02,44,68.2,72.7,0
557.6,27.9,66.8,1011.25,79,0.0,0.0,1
499.4,25.9,77.0,1017.16,65,0.0,0.0,1
384.3,28.7,74.7,1006.07,72,0.0,0.0,0
257.5,29.0,80.3,1010.86,44,66.3,73.0,0
178.0,24.6,76.5,1008.59,54,34.1,38.3,0
441.9,30.7,66.5,1014.07,104,0.0,0.0,0
207.0,31.3,71.1,1011.77,26,70.8,72.5,0
252.4,26.5,69.7,1015.44,47,33.2,40.0,0
429.3,25.6,61.4,1012.87,34,65.2,68.5,0
409.9,27.7,64.3,1007.84,82,0.0,0.0,0
219.1,28.6,74.2,1008.0,81,0.0,0.0,0
656.3,27.8,88.1,1013.23,34,33.1,35.8,1
648.0,28.3,71.4,1010.55,13,24.4,57.9,1
509.2,29.1,69.6,1011.39,6,18.2,42.3,1
508.9,24.7,66.0,1016.53,48,16.9,21.2,1
509.2,25.0,76.3,1015.91,46,17.0,18.9,1
1450.0,21.0,86.0,1019.54,104,0.0,0.0,2
620.4,31.1,93.0,1012.14,52,18.0,17.8,1
542.0,28.5,78.4,1011.01,31,30.5,35.0,1
267.9,31.4,77.2,1014.71,94,0.0,0.0,0
354.0,25.3,71.4,1011.29,54,38.6,41.9,0
1076.3,28.6,72.8,1011.4,65,0.0,0.0,2
145.8,29.1,81.3,1012.54,15,39.8,102.7,0
313.9,26.9,73.3,1019.03,43,65.0,70.6,0
657.9,24.2,74.6,1015.71,99,0.0,0.0,1
276.2,33.4,75.8,1016.08,64,36.2,38.7,0
549.0,32.4,71.0,1018.88,39,32.5,37.0,1
407.3,27.4,75.4,1016.41,68,0.0,0.0,0
285.7,29.9,58.8,1009.29,96,0.0,0.0,0
133.3,27.1,80.7,1016.36,32,67.1,73.9,0
436.1,25.7,96.0,1016.8,56,35.1,39.8,0
265.1,33.6,71.3,1015.53,101,0.0,0.0,1
376.4,23.9,79.2,1012.57,22,69.9,78.0,0
506.8,27.7,83.2,1015.16,77,0.0,0.0,1
596.8,28.7,86.9,1013.18,66,0.0,0.0,1
313.4,33.1,73.8,1009.83,73,0.0,0.0,0
285.5,31.0,60.7,1010.7,40,69.3,73.2,0
205.2,23.8,78.3,1015.71,36,67.7,69.5,0
610.7,28.5,77.1,1010.08,73,0.0,0.0,1
1000.7,28.6,73.1,1010.41,27,0.0,0.0,2
642.0,27.9,74.9,1015.89,47,22.7,25.9,1
709.8,30.2,77.2,1013.72,24,33.0,32.8,1
277.4,24.6,79.1,1015.27,6,38.0,93.7,0
492.6,27.4,78.7,1008.95,102,0.0,0.0,1
573.0,29.8,74.1,1015.17,48,16.9,18.1,1
71.1,30.4,79.3,1010.94,102,0.0,0.0,0
233.8,28.9,73.6,1009.69,19,39.6,92.7,0
825.5,27.7,81.5,1011.48,64,19.4,20.3,1
186.7,28.2,70.7,1018.02,25,76.2,76.2,0
763.5,30.6,76.6,1011.97,84,0.0,0.0,1
186.1,28.6,62.2,1020.95,83,0.0,0.0,0
239.4,25.6,72.9,1006.03,16,39.8,102.8,0
496.8,25.0,80.8,1007.84,96,0.0,0.0,1
412.2,24.3,67.2,1017.88,24,69.8,72.4,0
328.2,32.6,73.3,1018.76,66,0.0,0.0,0
810.2,30.8,55.6,1010.23,104,0.0,0.0,1
207.9,28.2,64.4,1013.49,93,0.0,0.0,0
369.5,27.2,66.6,1015.74,101,0.0,0.0,0
526.7,26.9,76.9,1012.45,39,42.7,41.9,1
456.3,31.6,78.8,1013.77,16,20.1,57.6,1
290.1,33.8,75.5,1013.29,24,32.8,36.9,1
295.2,26.8,72.7,1008.06,55,33.9,35.1,0
592.5,31.7,72.8,1012.04,84,0.0,0.0,1
605.8,28.6,82.1,1013.29,20,37.5,38.6,1
462.0,27.9,77.8,1013.61,71,0.0,0.0,1
260.0,32.7,73.2,1007.19,37,70.7,73.7,0
299.8,28.5,87.0,1015.89,39,66.9,74.9,0
394.3,29.3,92.6,1013.7,71,0.0,0.0,0
421.8,29.2,65.4,1009.56,52,37.8,42.0,0
516.8,23.9,80.4,1019.55,86,0.0,0.0,1
360.2,29.3,98.0,1012.04,21,69.5,72.8,0
586.2,26.9,78.4,1012.26,84,0.0,0.0,1
583.1,24.5,77.0,1015.5,11,21.7,51.4,1
721.5,27.1,75.5,1019.84,24,31.0,35.1,1
402.5,27.0,80.2,1015.63,71,0.0,0.0,0
465.7,31.4,82.4,1016.14,90,0.0,0.0,1
373.5,25.5,65.4,1009.74,30,73.5,76.5,0
261.5,26.3,75.8,1013.55,38,68.2,70.0,0
989.4,29.2,56.7,1011.39,59,0.0,0.0,2
677.8,24.8,74.2,1015.71,26,35.7,38.4,1
577.4,26.7,68.3,1016.04,86,0.0,0.0,1
395.9,23.8,78.9,1018.97,82,0.0,0.0,0
250.6,31.1,61.9,1005.7,20,37.7,97.4,0
626.2,27.7,71.6,1011.04,51,15.0,17.4,1
370.3,28.5,84.2,1017.8,82,0.0,0.0,0
485.6,31.1,70.3,1008.34,39,39.2,42.2,1
299.2,26.5,59.8,1016.07,68,0.0,0.0,0
448.5,27.6,78.2,1017.22,10,37.4,92.4,0
308.2,25.5,71.0,1013.15,66,0.0,0.0,0
314.0,25.5,74.4,1008.27,20,72.0,76.2,0
445.8,25.9,69.8,1012.82,88,0.0,0.0,0
184.8,27.1,92.8,1018.36,41,66.8,72.0,0
189.1,27.4,62.8,1018.64,33,67.8,69.4,0
275.8,29.3,98.0,1013.98,89,0.0,0.0,0
358.2,26.0,72.7,1009.83,10,37.3,94.7,0
594.6,29.4,77.6,1019.33,45,35.6,38.6,1
368.0,29.9,71.1,1016.12,42,70.6,70.8,0
394.7,27.2,70.8,1010.06,33,64.6,68.4,0
344.8,26.2,69.3,1014.45,96,0.0,0.0,0
465.4,28.7,81.1,1014.29,80,0.0,0.0,1
260.2,27.9,64.0,1011.02,11,39.4,101.2,0
377.5,29.1,79.1,1014.47,76,0.0,0.0,0
483.0,32.9,57.4,1017.12,58,14.1,19.4,1
444.1,28.7,78.3,1012.21,95,0.0,0.0,0
400.8,26.7,83.2,1017.48,36,69.4,76.2,0
403.2,26.0,65.2,1007.11,62,36.5,42.6,0
505.2,26.1,81.8,1021.01,55,16.4,21.9,1
1012.7,24.4,76.4,1013.45,54,0.0,0.0,2
268.7,31.1,89.6,1017.01,51,34.5,39.3,0
1026.8,22.2,68.7,1014.02,26,0.0,0.0,2
262.9,29.9,98.0,1010.37,81,0.0,0.0,0
126.1,26.1,55.7,1013.12,50,36.2,43.4,0
305.2,27.1,73.2,1006.57,101,0.0,0.0,0
469.6,26.0,61.6,1015.66,31,39.1,43.4,1
909.8,32.5,91.7,1013.93,73,0.0,0.0,2
250.4,28.5,73.8,1012.58,99,0.0,0.0,0
503.8,30.7,74.5,1015.88,71,0.0,0.0,1
198.5,32.1,79.8,1013.38,92,0.0,0.0,0
893.9,29.0,76.0,1015.37,88,0.0,0.0,1
684.0,25.2,71.0,1016.62,41,34.3,40.7,1
314.3,27.9,65.3,1011.33,65,0.0,0.0,0
736.2,26.4,77.4,1010.33,21,37.1,40.0,1
376.4,27.1,79.2,1007.22,59,33.6,39.4,0
701.2,28.2,81.9,1013.68,28,30.7,32.8,1
399.4,28.1,92.3,1014.83,79,0.0,0.0,0
407.6,29.7,57.5,1008.62,58,37.6,39.4,0
317.5,30.1,75.4,1018.22,46,33.6,39.2,0
535.0,28.1,86.1,1010.37,32,40.4,40.5,1
422.4,29.6,74.9,1005.89,105,0.0,0.0,0
509.0,27.0,56.1,1018.48,12,25.1,53.1,1
176.1,32.2,65.0,1006.34,9,41.7,99.8,0
713.1,26.9,78.8,1016.62,27,35.8,37.3,1
798.7,31.9,78.5,1015.77,102,0.0,0.0,1
421.5,24.4,81.7,1014.37,103,0.0,0.0,0
977.5,27.4,69.4,1011.42,70,0.0,0.0,2
867.3,27.6,78.2,1015.01,93,0.0,0.0,1
540.6,29.3,68.0,1016.92,26,34.7,32.6,1
740.8,30.9,78.2,1009.8,102,0.0,0.0,1
649.3,25.0,76.5,1016.67,19,22.1,54.1,1
155.0,25.4,69.0,1016.51,15,32.4,92.5,0
348.2,24.6,89.2,1014.28,16,42.3,93.6,0
558.5,32.2,61.5,1011.37,62,14.4,13.8,1
824.3,29.3,74.8,1016.52,83,0.0,0.0,1
192.0,25.5,68.8,1015.03,42,64.2,74.2,0
160.0,27.3,91.6,1009.69,103,0.0,0.0,0
387.6,31.8,81.1,1011.96,48,36.0,43.2,0
130.1,27.7,70.5,1016.12,20,67.6,80.4,0
381.2,27.6,73.6,1013.65,52,33.2,42.0,0
475.1,26.3,91.8,1017.05,73,0.0,0.0,1
244.8,25.6,68.0,1012.05,88,0.0,0.0,0
386.2,31.8,61.0,1009.75,51,32.5,35.5,0
620.7,33.2,78.5,1020.93,64,17.1,21.8,1
304.5,25.7,78.7,1007.37,32,68.7,72.6,0
265.0,32.4,81.7,1011.5,70,0.0,0.0,0
377.8,27.1,81.7,1014.23,104,0.0,0.0,0
232.4,30.0,91.1,1016.7,10,40.8,100.0,0
941.8,32.4,61.4,1015.51,94,0.0,0.0,2
405.3,28.1,65.8,1021.34,61,35.3,39.3,0
278.5,27.6,81.6,1012.84,30,72.3,77.9,0
441.9,30.7,66.6,1010.19,100,0.0,0.0,0
376.8,25.4,63.6,1012.48,53,35.3,40.5,0
356.8,31.7,91.9,1012.13,38,70.0,76.3,0
304.5,28.9,62.2,1013.01,23,67.8,72.6,0
297.3,26.9,73.0,1009.81,29,64.7,67.3,0
178.0,26.8,75.5,1015.99,88,0.0,0.0,0
740.2,24.6,87.1,1014.55,66,0.0,0.0,1
523.8,27.0,60.1,1008.83,96,0.0,0.0,1
462.9,27.8,79.5,1016.64,28,26.3,30.7,1
373.9,25.5,68.4,1010.41,17,37.7,91.4,0
242.8,28.4,81.3,1009.11,6,40.6,94.6,0
270.3,29.8,68.3,1013.56,56,34.7,39.9,0
187.5,27.9,89.4,1007.1,105,0.0,0.0,0
286.5,30.4,68.3,1015.31,74,0.0,0.0,0
226.6,26.2,55.1,1003.31,36,70.5,73.9,0
843.9,31.3,69.3,1009.65,93,0.0,0.0,1
601.0,28.8,73.8,1018.76,83,0.0,0.0,1
413.7,32.8,85.2,1010.85,7,37.1,90.4,0
255.5,35.3,65.3,1011.46,87,0.0,0.0,1
232.2,27.2,65.5,1017.71,35,68.5,72.9,0
362.4,27.3,84.2,1010.47,20,37.0,94.3,0
612.9,27.8,64.3,1015.92,28,38.0,43.0,1
190.0,30.2,74.5,1017.36,52,27.8,36.8,0
520.6,32.2,74.7,1014.92,47,17.5,21.6,1
285.9,26.7,77.8,1008.19,34,70.2,73.4,0
311.4,29.6,69.6,1011.14,22,67.2,72.7,0
407.9,28.1,68.1,1022.75,81,0.0,0.0,0
259.7,30.2,78.8,1011.53,104,0.0,0.0,0
353.6,32.7,68.4,1023.7,83,0.0,0.0,0
249.2,27.8,64.4,1019.23,35,71.9,70.7,0
297.2,23.8,86.4,1015.07,29,73.0,76.0,0
568.1,30.6,80.1,1014.29,27,33.9,36.5,1
418.1,26.2,91.0,1011.62,19,38.1,98.2,0
567.1,28.1,82.7,1012.94,60,20.3,24.7,1
284.1,30.7,65.2,1010.84,66,0.0,0.0,0
522.4,29.3,76.8,1013.03,76,0.0,0.0,1
167.0,28.2,67.4,1008.48,73,0.0,0.0,0
407.8,26.9,62.0,1008.29,34,66.9,70.3,0
538.9,21.0,72.2,1017.8,38,28.7,28.6,1
163.8,30.5,84.3,1007.61,73,0.0,0.0,0
285.7,27.8,78.3,1016.35,40,66.4,75.4,0
407.7,32.7,64.2,1006.62,26,66.7,75.4,0
634.8,29.6,71.9,1015.45,42,41.5,44.1,1
297.2,27.0,74.8,1012.52,32,69.6,75.9,0
512.7,31.5,61.6,1017.87,14,23.0,57.1,1
763.6,31.7,82.1,1012.09,88,0.0,0.0,1
523.9,27.9,74.1,1006.22,90,0.0,0.0,1
360.1,31.8,64.2,1012.59,27,66.2,75.7,0
476.2,26.9,63.7,1013.81,11,21.8,57.1,1
293.0,28.9,85.4,1012.79,79,0.0,0.0,0
415.6,30.1,72.8,1015.26,26,64.7,72.8,0
368.7,30.7,86.1,1011.27,44,69.6,73.1,0
468.7,30.2,89.4,1008.83,11,19.4,47.8,1
323.8,27.6,84.7,1009.75,28,67.6,74.7,0
481.4,31.6,71.5,1011.44,84,0.0,0.0,1
322.3,28.2,54.8,1011.41,85,0.0,0.0,0
598.2,26.9,78.7,1021.67,26,42.2,41.1,1
338.3,26.9,93.8,1017.64,39,68.7,74.3,0
132.3,33.9,75.7,1015.65,18,19.3,43.8,1
235.9,26.4,59.1,1014.81,12,37.6,98.6,0
402.0,32.1,70.3,1014.3,104,0.0,0.0,0
840.3,25.3,74.4,1014.32,71,0.0,0.0,1
587.2,29.9,66.7,1013.82,59,15.3,16.1,1
120.0,29.3,54.2,1013.39,82,0.0,0.0,0
181.7,33.0,75.2,1005.93,89,0.0,0.0,0
673.6,26.7,69.3,1011.96,86,0.0,0.0,1
537.5,25.9,91.1,1012.41,7,15.3,43.6,1
1058.7,28.2,76.9,1010.63,24,0.0,0.0,2
315.9,33.2,80.0,1011.3,70,0.0,0.0,0
257.1,26.0,75.0,1014.3,43,68.9,72.2,0
412.5,21.3,76.8,1015.94,103,0.0,0.0,0
312.9,28.7,62.0,1014.3,72,0.0,0.0,0
643.5,31.2,67.2,1015.85,101,0.0,0.0,1
307.7,25.7,85.3,1015.91,25,66.1,69.2,0
348.1,30.9,77.8,1012.2,91,0.0,0.0,0
239.7,25.6,72.6,1015.09,37,67.5,71.6,0
568.5,28.1,80.1,1007.14,104,0.0,0.0,1
247.2,30.6,80.3,1011.9,21,73.5,75.7,0
485.7,25.2,92.9,1011.49,57,20.8,21.3,1
910.0,29.0,77.4,1018.61,84,0.0,0.0,2
153.3,31.9,67.0,1014.43,48,32.7,43.3,0
780.9,29.8,75.0,1008.58,52,10.5,17.0,1
456.1,26.5,81.2,1015.33,104,0.0,0.0,1
221.2,32.8,84.5,1016.43,48,33.3,39.5,0
420.2,30.3,62.3,1012.94,65,0.0,0.0,0
560.6,23.3,78.2,1015.67,10,18.3,50.6,1
265.4,30.9,68.4,1004.52,89,0.0,0.0,0
499.0,26.9,71.2,1003.8,70,0.0,0.0,1
812.5,29.1,83.2,1009.12,45,18.0,18.5,1
307.5,31.3,82.3,1013.77,7,40.9,100.0,0
238.3,27.0,70.2,1018.61,64,30.0,36.2,0
374.3,23.9,74.7,1009.31,6,40.0,101.2,0
409.4,32.7,71.4,1010.26,5,37.0,94.9,0
659.4,31.8,98.0,1013.56,67,0.0,0.0,1
368.3,28.3,78.4,1011.53,24,70.9,76.9,0
321.3,30.9,68.9,1011.33,24,67.6,72.0,0
235.4,27.5,87.2,1011.77,70,0.0,0.0,0
164.4,28.8,87.5,1017.85,10,38.2,96.3,0
201.9,28.1,91.2,1017.16,36,66.2,71.9,0
201.4,27.6,93.7,1013.33,20,37.0,97.7,0
350.0,29.5,82.0,1019.04,63,32.4,42.3,0
179.2,25.1,73.0,1015.03,71,0.0,0.0,0
387.8,27.8,74.3,1017.29,77,0.0,0.0,0
900.1,29.4,73.5,1010.24,31,0.0,0.0,2
668.7,33.6,72.6,1010.96,14,18.0,49.8,1
348.3,25.2,86.5,1010.92,13,37.7,96.6,0
1183.9,30.0,76.0,1012.95,48,0.0,0.0,2
410.1,30.3,84.3,1013.46,100,0.0,0.0,0
438.6,23.2,81.8,1014.38,27,65.3,73.1,0
370.8,29.6,66.7,1020.16,31,63.2,72.0,0
392.0,31.0,61.4,1015.77,15,42.8,104.8,0
302.4,30.1,65.5,1011.45,66,0.0,0.0,0
350.8,28.3,72.4,1013.24,73,0.0,0.0,0
783.5,29.4,77.1,1018.52,69,0.0,0.0,1
703.6,29.0,70.5,1015.99,91,0.0,0.0,1
129.7,23.8,82.0,1018.47,54,33.8,41.9,0
189.1,29.0,71.5,1011.56,18,38.2,96.2,0
267.2,27.5,78.2,1010.76,34,66.6,72.8,0
615.5,26.5,77.0,1010.81,71,0.0,0.0,1
711.2,35.5,90.7,1011.84,66,0.0,0.0,1
559.6,32.0,67.7,1009.53,58,21.7,21.4,1
220.8,25.3,94.8,1014.28,73,0.0,0.0,0
305.4,29.5,70.9,1014.34,69,0.0,0.0,0
503.2,32.6,64.6,1017.94,93,0.0,0.0,1
353.4,24.3,74.2,1007.09,64,34.0,43.9,0
330.0,28.7,98.0,1009.95,83,0.0,0.0,0
332.3,28.8,83.6,1016.07,30,69.8,76.6,0
678.1,24.9,81.1,1013.89,73,0.0,0.0,1
527.8,29.6,82.8,1013.41,95,0.0,0.0,1
341.2,31.6,69.5,1017.67,44,65.3,75.1,0
466.2,32.7,78.8,1009.72,83,0.0,0.0,1
206.3,27.8,76.0,1010.7,77,0.0,0.0,0
305.7,35.5,91.4,1010.29,11,18.1,43.8,1
646.7,22.7,75.1,1006.2,63,14.8,19.4,1
173.8,29.5,72.8,1013.71,18,33.9,96.6,0
530.9,24.5,66.1,1011.42,102,0.0,0.0,1
129.1,28.8,77.2,1010.68,86,0.0,0.0,0
847.1,27.0,78.5,1010.05,16,14.9,40.5,1
302.2,29.9,65.8,1013.19,17,43.3,102.4,0
482.4,28.1,79.9,1010.46,64,17.8,16.7,1
421.2,26.2,78.0,1014.03,39,65.5,71.2,0
428.6,26.4,84.6,1014.86,8,38.5,99.5,0
462.1,33.9,86.3,1012.22,59,11.4,18.5,1
159.4,29.7,76.8,1011.98,44,65.1,67.8,0
432.9,23.7,67.2,1013.9,15,36.9,97.5,0
363.5,30.0,68.9,1013.15,85,0.0,0.0,0
303.0,28.0,91.0,1017.91,97,0.0,0.0,0
267.1,28.5,77.4,1014.36,81,0.0,0.0,0
438.1,30.8,90.8,1017.08,87,0.0,0.0,0
239.8,31.8,80.2,1015.39,27,68.5,71.4,0
641.1,26.1,82.4,1008.64,31,34.4,39.9,1
499.3,28.4,84.0,1011.3,26,38.0,41.6,1
450.9,27.0,65.6,1013.08,82,0.0,0.0,1
628.3,30.2,78.6,1016.29,100,0.0,0.0,1
148.0,27.8,65.5,1020.0,77,0.0,0.0,0
203.1,28.6,73.6,1011.56,93,0.0,0.0,0
509.8,27.7,81.4,1013.44,69,0.0,0.0,1
274.7,28.2,67.3,1016.05,44,66.6,68.9,0
291.8,33.3,80.8,1013.05,48,34.0,43.4,0
189.2,35.2,63.3,1019.0,13,22.4,58.8,1
240.1,29.6,85.7,1008.53,8,39.8,102.0,0
648.0,28.2,70.4,1015.62,75,0.0,0.0,1
504.1,24.0,67.3,1015.59,49,16.5,15.9,1
435.8,26.4,63.8,1017.28,60,35.3,36.9,0
297.4,28.1,71.1,1013.47,61,34.6,40.3,0
422.8,26.5,59.8,1016.37,33,66.0,70.3,0
675.2,26.8,71.3,1012.38,53,15.5,13.4,1
278.0,32.9,85.3,1010.45,52,35.8,42.0,0
391.5,28.6,74.4,1009.93,44,71.8,77.6,0
872.7,28.8,66.0,1008.21,87,0.0,0.0,1
556.1,26.6,77.9,1011.71,50,17.9,21.9,1
299.4,31.8,77.2,1014.34,65,0.0,0.0,0
534.8,27.9,92.6,1012.52,95,0.0,0.0,1
172.5,27.0,82.7,1013.94,92,0.0,0.0,0
384.0,24.1,78.6,1017.57,94,0.0,0.0,0
534.5,28.3,83.7,1011.44,32,38.4,39.0,1
478.2,27.0,74.9,1021.44,8,15.9,36.8,1
532.0,33.2,75.4,1015.89,31,40.4,40.8,1
588.4,33.7,90.1,1012.56,33,30.2,33.5,1
496.2,25.0,62.1,1012.48,96,0.0,0.0,1
489.4,25.4,84.2,1009.72,70,0.0,0.0,1
440.6,27.7,75.1,1013.16,13,43.2,102.8,0
226.7,26.2,73.5,1005.68,19,40.8,100.7,0
647.8,29.1,71.3,1017.65,21,42.1,45.4,1
390.6,27.6,77.3,1003.39,68,0.0,0.0,0
549.5,29.3,75.6,1013.4,79,0.0,0.0,1
616.2,31.3,72.5,1009.25,91,0.0,0.0,1
306.8,25.5,70.0,1010.8,99,0.0,0.0,0
320.0,31.3,59.8,1011.25,25,71.9,78.9,0
341.3,26.5,69.8,1019.99,36,66.1,72.8,0
706.5,34.5,71.6,1009.39,29,31.6,36.5,1
250.9,33.0,77.3,1016.45,41,63.3,71.1,0
765.3,28.2,92.7,1017.31,96,0.0,0.0,1
438.2,25.8,70.8,1005.07,63,32.8,37.8,0
453.3,25.3,67.3,1011.1,79,0.0,0.0,1
603.1,30.9,69.9,1018.45,54,15.1,18.9,1
414.7,28.4,77.3,1008.65,8,43.1,101.7,0
651.3,31.1,81.0,1017.44,11,20.9,49.0,1
306.6,34.7,82.2,1013.19,59,21.5,22.4,1
753.4,26.3,83.0,1013.04,77,0.0,0.0,1
318.2,25.1,84.2,1013.49,27,69.7,75.2,0
767.3,29.0,73.6,1014.45,77,0.0,0.0,1
322.4,31.7,93.5,1009.91,86,0.0,0.0,0
346.0,25.9,73.0,1012.34,46,36.3,36.6,0
236.4,28.6,76.9,1014.55,80,0.0,0.0,0
268.6,32.3,87.0,1013.87,45,33.9,40.4,0
391.6,23.9,80.8,1014.47,73,0.0,0.0,0
